x;system
-10.406370614359219;-2404.5487147191106
-10.396370614359219;-2152.950047066025
-10.386370614359219;-1938.027153305962
-10.37637061435922;-1754.0689348422802
-10.36637061435922;-1596.4218944629702
-10.35637061435922;-1461.2955654952123
-10.34637061435922;-1345.612290786488
-10.33637061435922;-1246.8932273683424
-10.32637061435922;-1163.1753083969875
-10.31637061435922;-1092.9566929605287
-10.30637061435922;-1035.1715227968584
-10.29637061435922;-989.1995099637002
-10.286370614359221;-954.9238337668884
-10.276370614359221;-932.8660541843951
-10.266370614359221;-924.4589034758676
-10.256370614359222;-932.5922121015599
-10.246370614359222;-962.75758297514
-10.236370614359222;-1025.668344638047
-10.226370614359222;-1144.1058849248539
-10.216370614359223;-1374.7649989351078
-10.206370614359223;-1905.2781556799273
-10.196370614359223;-3933.3648513599414
-10.186370614359223;10090.221826552082
-10.176370614359223;1809.07843150014
-10.166370614359224;886.5503867179767
-10.156370614359224;540.4388932258872
-10.146370614359224;363.504618986728
-10.136370614359224;258.54868933417663
-10.126370614359224;190.5912756268564
-10.116370614359225;143.98664752485436
-10.106370614359225;110.70725139879647
-10.096370614359225;86.22357901433939
-10.086370614359225;67.79516582543503
-10.076370614359226;53.67310860740166
-10.066370614359226;42.693395906925176
-10.056370614359226;34.05461205778086
-10.046370614359226;27.189434576981366
-10.036370614359226;21.686851790543184
-10.026370614359227;17.24323103200171
-10.016370614359227;13.630511346809053
-10.006370614359227;10.674936802379683
-9.996370614359227;8.242484721246845
-9.986370614359227;6.228664298489607
-9.976370614359228;4.5512377760294225
-9.966370614359228;3.144938227844648
-9.956370614359228;1.957577675062376
-9.946370614359228;0.9471400971206694
-9.936370614359229;0.07958300726892498
-9.926370614359229;-0.6728440345065931
-9.916370614359229;-1.3328989815256582
-9.90637061435923;-1.9193614586834353
-9.89637061435923;-2.4478314793251963
-9.88637061435923;-2.9313640865268757
-9.87637061435923;-3.3809781027801353
-9.86637061435923;-3.8060677207249327
-9.85637061435923;-4.214738823466032
-9.84637061435923;-4.614086926698857
-9.83637061435923;-5.010429967104958
-9.82637061435923;-5.4095064641330355
-9.816370614359231;-5.816647607293373
-9.806370614359231;-6.236930396851951
-9.796370614359232;-6.675317975271602
-9.786370614359232;-7.136792653228292
-9.776370614359232;-7.6264868122679825
-9.766370614359232;-8.149816837413923
-9.756370614359232;-8.712625503366196
-9.746370614359233;-9.321338839392565
-9.736370614359233;-9.983144493252153
-9.726370614359233;-10.70620010514771
-9.716370614359233;-11.499882343583812
-9.706370614359233;-12.375090276230798
-9.696370614359234;-13.34462099051378
-9.686370614359234;-14.423641344686072
-9.676370614359234;-15.630288173636771
-9.666370614359234;-16.98644133230178
-9.656370614359234;-18.51873137515008
-9.646370614359235;-20.259869150118202
-9.636370614359235;-22.250422408104676
-9.626370614359235;-24.54122158080719
-9.616370614359235;-27.196664465232217
-9.606370614359236;-30.299326641175348
-9.596370614359236;-33.956503630462166
-9.586370614359236;-38.30966957226844
-9.576370614359236;-43.54843991425614
-9.566370614359236;-49.93166800215914
-9.556370614359237;-57.82016782414823
-9.546370614359237;-67.72900719928059
-9.536370614359237;-80.41398809669758
-9.526370614359237;-97.02046511937104
-9.516370614359237;-119.35169285936767
-9.506370614359238;-150.38047663570313
-9.496370614359238;-195.2932451999045
-9.486370614359238;-263.80852757389374
-9.476370614359238;-375.9157353701738
-9.466370614359239;-578.3020690556945
-9.456370614359239;-1002.1780982527282
-9.446370614359239;-2145.095931881251
-9.43637061435924;-7441.361188323836
-9.43477796076938;-10000.31334034942
-9.42637061435924;-394237.30198252137
-9.425777960769379;-1000000.3313389256
-9.42487796076938;-1.0000000033848763E8
-9.42477796076938;undefined
-9.42467796076938;-1.0000000032914232E8
-9.42377796076938;-1000000.335328953
-9.41637061435924;-14147.92876205732
-9.41477796076938;-10000.35333967331
-9.40637061435924;-2951.699194918291
-9.39637061435924;-1239.58237872608
-9.38637061435924;-678.3192222825922
-9.37637061435924;-427.18412148900256
-9.36637061435924;-293.5835466542026
-9.356370614359241;-214.16544733004508
-9.346370614359241;-163.15257213734293
-9.336370614359241;-128.45548034644105
-9.326370614359242;-103.79360096794808
-9.316370614359242;-85.64140017790754
-9.306370614359242;-71.89581246024285
-9.296370614359242;-61.23923382943753
-9.286370614359242;-52.81208757711274
-9.276370614359243;-46.03424011898383
-9.266370614359243;-40.502671227812456
-9.256370614359243;-35.93033565565141
-9.246370614359243;-32.108301057951074
-9.236370614359243;-28.881558996345834
-9.226370614359244;-26.13314365695828
-9.216370614359244;-23.773450308670522
-9.206370614359244;-21.732894914335535
-9.196370614359244;-19.956771578657165
-9.186370614359245;-18.40158650900085
